# Time (s), X (m), Y (m), Z (m)
0.000000,0.000000,0.000000,200.000000
0.010000,0.000000,-0.000000,200.000000
0.020000,-0.000011,0.000004,200.000670
0.030000,-0.000155,0.000056,200.009440
0.040000,-0.000458,0.000167,200.027921
0.050000,-0.000919,0.000334,200.056020
0.060000,-0.001534,0.000559,200.093552
0.070000,-0.002293,0.000835,200.139812
0.080000,-0.003189,0.001161,200.194440
0.090000,-0.004222,0.001537,200.257409
0.100000,-0.005394,0.001963,200.328836
0.110000,-0.006706,0.002441,200.408836
0.120000,-0.008161,0.002970,200.497527
0.130000,-0.009760,0.003552,200.595029
0.140000,-0.011506,0.004188,200.701460
0.150000,-0.013400,0.004877,200.816926
0.160000,-0.015443,0.005621,200.941538
0.170000,-0.017638,0.006420,201.075335
0.180000,-0.019984,0.007274,201.218363
0.190000,-0.022483,0.008183,201.370705
0.200000,-0.025131,0.009147,201.532142
0.210000,-0.027927,0.010165,201.702558
0.220000,-0.030876,0.011238,201.882341
0.230000,-0.033986,0.012370,202.071933
0.240000,-0.037263,0.013563,202.271779
0.250000,-0.040700,0.014813,202.481619
0.260000,-0.044258,0.016109,202.699346
0.270000,-0.047966,0.017458,202.926739
0.280000,-0.051820,0.018861,203.163610
0.290000,-0.055822,0.020318,203.410049
0.300000,-0.059972,0.021828,203.666082
0.310000,-0.064272,0.023393,203.931733
0.320000,-0.068721,0.025012,204.207028
0.330000,-0.073322,0.026687,204.491992
0.340000,-0.078076,0.028417,204.786654
0.350000,-0.082986,0.030205,205.091047
0.360000,-0.088057,0.032050,205.405199
0.370000,-0.093290,0.033955,205.729142
0.380000,-0.098689,0.035920,206.062906
0.390000,-0.104258,0.037947,206.406519
0.400000,-0.110003,0.040038,206.760009
0.410000,-0.115928,0.042195,207.123405
0.420000,-0.122040,0.044419,207.496734
0.430000,-0.128342,0.046713,207.880024
0.440000,-0.134842,0.049078,208.273295
0.450000,-0.141547,0.051519,208.676566
0.460000,-0.148465,0.054037,209.089858
0.470000,-0.155604,0.056635,209.513187
0.480000,-0.162972,0.059317,209.946568
0.490000,-0.170580,0.062086,210.390013
0.500000,-0.178435,0.064945,210.843535
0.510000,-0.186547,0.067898,211.307145
0.520000,-0.194928,0.070948,211.780858
0.530000,-0.203589,0.074100,212.264688
0.540000,-0.212541,0.077359,212.758650
0.550000,-0.221797,0.080727,213.262758
0.560000,-0.231368,0.084211,213.777025
0.570000,-0.241269,0.087815,214.301465
0.580000,-0.251512,0.091543,214.836091
0.590000,-0.262111,0.095401,215.380916
0.600000,-0.273081,0.099393,215.935953
0.610000,-0.284437,0.103527,216.501214
0.620000,-0.296196,0.107806,217.076712
0.630000,-0.308371,0.112238,217.662459
0.640000,-0.320980,0.116827,218.258468
0.650000,-0.334038,0.121580,218.864750
0.660000,-0.347562,0.126502,219.481317
0.670000,-0.361569,0.131600,220.108180
0.680000,-0.376076,0.136881,220.745352
0.690000,-0.391099,0.142348,221.392842
0.700000,-0.406655,0.148010,222.050661
0.710000,-0.422761,0.153872,222.718817
0.720000,-0.439434,0.159941,223.397318
0.730000,-0.456690,0.166221,224.086171
0.740000,-0.474546,0.172721,224.785386
0.750000,-0.493018,0.179444,225.494965
0.760000,-0.512121,0.186397,226.214908
0.770000,-0.531869,0.193584,226.945215
0.780000,-0.552277,0.201012,227.685884
0.790000,-0.573360,0.208686,228.436916
0.800000,-0.595131,0.216610,229.198307
0.810000,-0.617602,0.224789,229.970052
0.820000,-0.640782,0.233226,230.752147
0.830000,-0.664683,0.241925,231.544586
0.840000,-0.689316,0.250891,232.347364
0.850000,-0.714691,0.260126,233.160477
0.860000,-0.740814,0.269634,233.983924
